archivo,hoja,producto,unidad_medida,dia_del_mes,cantidad,total_fila
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,2,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,3,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,4,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,5,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,6,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,7,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,8,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,9,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,10,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,11,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,12,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,13,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,14,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,15,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,16,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,17,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,18,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,19,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,20,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,21,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,22,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,23,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,24,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,25,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,26,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,27,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,28,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,29,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA CABEZONA ROJA,LIBRAS,30,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,1,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,2,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,3,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,4,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,5,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,6,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,7,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,8,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,9,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,10,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,11,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,12,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,13,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,14,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,15,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,16,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,17,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,18,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,19,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,20,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,21,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,CEBOLLA JUNCA,LIBRAS,22,,0
